"firstName","lastName","nationality","id","code","name","type","abbreviation","Label"
"Jonathan","Toews","CAN",8473604,"C","Center","Forward","C","Jonathan Toews"
"Alexander","Vasyunov","RUS",8473605,"L","Left Wing","Forward","LW","Alexander Vasyunov"
"Michal","Neuvirth","CZE",8473607,"G","Goalie","Goalie","G","Michal Neuvirth"
"Blake","Geoffrion","USA",8473608,"C","Center","Forward","C","Blake Geoffrion"
"Bobby","Sanguinetti","USA",8473610,"D","Defenseman","Defenseman","D","Bobby Sanguinetti"
"Shane","Sims","USA",8473611,"D","Defenseman","Defenseman","D","Shane Sims"
"Richard","Bachman","USA",8473614,"G","Goalie","Goalie","G","Richard Bachman"
"Jonathan","Rheault","USA",8473616,"R","Right Wing","Forward","RW","Jonathan Rheault"
"Mathieu","Perreault","CAN",8473618,"C","Center","Forward","C","Mathieu Perreault"
"Josh","Tordjman","CAN",8473632,"G","Goalie","Goalie","G","Josh Tordjman"
"Denis","Tolpeko","RUS",8473635,"R","Right Wing","Forward","RW","Denis Tolpeko"
"Cedrick","Desjardins","CAN",8473638,"G","Goalie","Goalie","G","Cedrick Desjardins"
"Gabe","Gauthier","USA",8473644,"L","Left Wing","Forward","LW","Gabe Gauthier"
"Ryan","Carter","USA",8473646,"L","Left Wing","Forward","LW","Ryan Carter"
"Frédéric","St-Denis","CAN",8473647,"D","Defenseman","Defenseman","D","Frédéric St-Denis"
"Victor","Bartley","CAN",8473658,"D","Defenseman","Defenseman","D","Victor Bartley"
"David","Schlemko","CAN",8473673,"D","Defenseman","Defenseman","D","David Schlemko"
"Andrew","Ebbett","CAN",8473682,"C","Center","Forward","C","Andrew Ebbett"
"Trevor","Frischmon","USA",8473687,"C","Center","Forward","C","Trevor Frischmon"
"Ryan","Wilson","CAN",8473700,"D","Defenseman","Defenseman","D","Ryan Wilson"
"Frazer","McLaren","CAN",8473712,"L","Left Wing","Forward","LW","Frazer McLaren"
"John","Scott","CAN",8473722,"L","Left Wing","Forward","LW","John Scott"
"Tim","Wallace","USA",8473734,"R","Right Wing","Forward","RW","Tim Wallace"
"Jamie","Fraser","CAN",8473827,"D","Defenseman","Defenseman","D","Jamie Fraser"
"Greg","Rallo","USA",8473867,"C","Center","Forward","C","Greg Rallo"
"Paul","Szczechura","CAN",8473898,"C","Center","Forward","C","Paul Szczechura"
"Kyle","Greentree","CAN",8473904,"L","Left Wing","Forward","LW","Kyle Greentree"
"Sean","Bentivoglio","CAN",8473905,"L","Left Wing","Forward","LW","Sean Bentivoglio"
"Kevin","Westgarth","CAN",8473908,"R","Right Wing","Forward","RW","Kevin Westgarth"
"Steven","Pinizzotto","CAN",8473911,"R","Right Wing","Forward","RW","Steven Pinizzotto"
"Sean","Collins","USA",8473913,"D","Defenseman","Defenseman","D","Sean Collins"
"Mark","Letestu","CAN",8473914,"C","Center","Forward","C","Mark Letestu"
"Steve","Wagner","USA",8473916,"D","Defenseman","Defenseman","D","Steve Wagner"
"Joe","Piskula","USA",8473921,"D","Defenseman","Defenseman","D","Joe Piskula"
